id,d_pop,d
Bootstrap001,d_han,0.0013844223525823337
Bootstrap001,d_french,8.609312398010036e-4
Bootstrap001,d_mbuti,3.8495798839777135e-4
Bootstrap002,d_han,0.0014381348584568635
Bootstrap002,d_french,0.0012798658277212017
Bootstrap002,d_mbuti,3.2217700725674207e-4
Bootstrap003,d_han,0.0014541853314794728
Bootstrap003,d_french,0.0015776198233945105
Bootstrap003,d_mbuti,-1.4315698100808553e-4
Bootstrap004,d_han,0.0014725053607327814
Bootstrap004,d_french,0.001284955424658712
Bootstrap004,d_mbuti,-1.2892494884102502e-4
Bootstrap005,d_han,0.001746383917972964
Bootstrap005,d_french,0.0017228499611753754
Bootstrap005,d_mbuti,6.121475761493893e-4
Bootstrap006,d_han,0.0017616568725627698
Bootstrap006,d_french,0.0020520036301741487
Bootstrap006,d_mbuti,1.3482504163939678e-4
Bootstrap007,d_han,4.3278747439148303e-4
Bootstrap007,d_french,0.0010078250654911743
Bootstrap007,d_mbuti,-3.9193576545646025e-5
Bootstrap008,d_han,0.0017470197069074849
Bootstrap008,d_french,0.0011345202650543183
Bootstrap008,d_mbuti,-9.764113471959686e-5
Bootstrap009,d_han,0.0013151617380907313
Bootstrap009,d_french,0.001149098768370689
Bootstrap009,d_mbuti,2.771278250159626e-4
Bootstrap010,d_han,0.0015589204935470104
Bootstrap010,d_french,0.0020226060916394228
Bootstrap010,d_mbuti,8.973260067248774e-4
Bootstrap011,d_han,0.0019596529521325873
Bootstrap011,d_french,0.0017734080677698546
Bootstrap011,d_mbuti,1.6239920430814934e-4
Bootstrap012,d_han,0.001273998298210293
Bootstrap012,d_french,0.001496667743504879
Bootstrap012,d_mbuti,-1.2168490867696314e-4
Bootstrap013,d_han,0.0018318314562847761
Bootstrap013,d_french,0.0016900656708168412
Bootstrap013,d_mbuti,5.089031419376266e-4
Bootstrap014,d_han,8.576936630942343e-4
Bootstrap014,d_french,0.0013586717024758061
Bootstrap014,d_mbuti,2.0169154717143047e-4
Bootstrap015,d_han,0.0011171541712508867
Bootstrap015,d_french,0.001451835579699077
Bootstrap015,d_mbuti,-8.508093628434669e-5
Bootstrap016,d_han,7.317948951022773e-4
Bootstrap016,d_french,8.242701733819578e-4
Bootstrap016,d_mbuti,4.42386491149533e-5
Bootstrap017,d_han,0.0016856397655977801
Bootstrap017,d_french,0.0012579918197555555
Bootstrap017,d_mbuti,2.7637022083337607e-4
Bootstrap018,d_han,0.0018513923796270077
Bootstrap018,d_french,0.0018486236467570858
Bootstrap018,d_mbuti,7.669256668996707e-4
Bootstrap019,d_han,0.0014997037539037081
Bootstrap019,d_french,0.0020994206947013475
Bootstrap019,d_mbuti,2.585397459492521e-4
Bootstrap020,d_han,0.0014472110043443566
Bootstrap020,d_french,0.0013176869293269294
Bootstrap020,d_mbuti,6.940316006482204e-6
Bootstrap021,d_han,0.0015021714931608106
