Individual,Sp,Sex,PC1
CA.13103,MPx(CPxMP),m,0.176993668
CA.13104,MPx(CPxMP),m,15.91526031
CA.13106,MPx(CPxMP),m,-6.188417912
CA.13107,MPx(CPxMP),m,14.92090416
CA.13108,MPx(CPxMP),m,27.27072716
CA.13109,CPxMP,m,-60.47441292
CA.13125,CPxMP,f,-39.21165085
CA.13138,CPxMP,f,-20.39949226
CA.13139,CPxMP,f,-40.584093095
CA.13141,CPxMP,f,-45.16352844
CA.13142,CPxMP,f,-27.805439
CA.13143,CPxMP,f,-23.75334549
CA.13168,CPx(CPxMP),f,-96.70379639
CA.13169,CPx(CPxMP),f,-91.28865051
CA.13180,MPx(CPxMP),m,-32.01802826
CA.13200,MPx(CPxMP),m,-12.45620632
CA.13201,MPx(CPxMP),m,32.84874344
CA.13203,CPx(CPxMP),m,-91.63986969
CA.13208,CPx(CPxMP),f,-102.3530045
CA.13224,CPx(CPxMP),m,-54.04452515
CA.13225,CPx(CPxMP),m,-51.182827
CA.13234,CPx(CPxMP),f,-93.47944641
CA.13246,MPx(CPxMP),m,-4.954161167
CA.13254,CPx(CPxMP),m,-116.0456772
CA.13276,MP,m,31.983193395
CA.13285,CPx(CPxMP),f,-69.47832489
CA.13291,CPx(CPxMP),m,-95.29432678
CA.13292,CPx(CPxMP),m,-61.74755478
CA.13293,CPx(CPxMP),m,-109.2570038
CA.13308,CPx(CPxMP),m,-112.0750809
CA.13323,CPx(CPxMP),f,-64.11943054
CA.13353,CPx(CPxMP),f,-97.37789154
CA.13376,MP,m,32.2781868
CA.13443,CPx(CPxMP),f,-99.87586212
CA.13477,CPx(CPxMP),m,-103.9063873
CA.13486,CPx(CPxMP),m,-121.5566254
CA.13488,CPx(CPxMP),m,-114.0424194
CA.13491,CPx(CPxMP),m,-115.2582245
CA.13492,CPx(CPxMP),m,-111.3315811
CA.13507,CPx(CPxMP),m,-115.8174896
CA.13512,CPx(CPxMP),m,-122.7293091
CA.13513,CPx(CPxMP),m,-118.0184708
CA.13515,CPx(CPxMP),m,-109.7442169
CA.13531,CPx(CPxMP),m,-79.64948273
CA.13532,CPx(CPxMP),m,-134.7151794
CA.13538,CPx(CPxMP),m,-121.1961823
CA.13539,CPx(CPxMP),m,-123.6889648
CA.13542,CPx(CPxMP),m,-107.877449
CA.13549,CPx(CPxMP),m,-122.4760284
CA.13551,CPx(CPxMP),m,-128.0730133
CA.13555,CPx(CPxMP),m,-115.5313416
CA.13558,CPx(CPxMP),m,-135.1444092
CA.13562,CPx(CPxMP),m,-115.0295105
CA.13563,CPx(CPxMP),m,-95.91200256
CA.13567,CPx(CPxMP),m,-111.7139969
CA.13574,CPx(CPxMP),m,-87.7330246
CA.13628,MP,m,34.06484222
CA.13633,CP,f,-123.04673
CA.13651,CPx(CPxMP),m,-83.28517914
CA.13654,CPx(CPxMP),m,-98.83072662
CA.13655,CPx(CPxMP),m,-97.41911316
CA.13701,CP,f,-112.0959396
CA.13714,MP,m,38.71211624
CA.13721,CP,f,-110.1962204
CA.13756,CPx(CPxMP),m,-29.058321
CA.13776,CPx(CPxMP),m,-84.10371399
CA.13806,MP,m,39.99357605
CA.13814,CPx(CPxMP),f,-120.6310043
CA.13833,CPx(CPxMP),m,-106.9327164
CA.13838,MP,m,38.337200165
CA.13886,CPx(CPxMP),m,-85.83566284
CA.13989,MP,m,41.19869995
CA.14070,MP,f,39.62024307
CA.14142,MP,m,46.88954163
CA.14512,CP,f,-118.4936371
CA.14525,CPx(CPxMP),m,30.49168777
CA.14574,CPx(CPxMP),m,38.84923935
